Отметка времени,"Фамилия, имя родителя ",  Фамилия и имя ребенка  ,  Возраст ребенка ,"Я даю согласие на обработку персональных данных моих и моего ребенка в исследовательских целях. Мне известно, что данные будут использованы только в обобщенном виде. ","1. Если уж я чего-то требую от него (нее), то обязательно добьюсь этого.",2. Я всегда наказываю его (ее) за плохие уступки.,"3. Он(а) редко говорит мне, куда идет и когда вернется.",4. Я считаю его (ее) вполне самостоятельным человеком.,"5. Сын (дочь) может рассказать мне обо всем, что с ним (ней) происходит.","6. Думаю, что он(а) ничего не добьется в жизни.","7. Я говорю ему (ей) чаще о его(ее) недостатках, чем достоинствах.",8. Часто поручаю ему (ей) важные и трудные дела.,9. Нам трудно достичь взаимного согласия.,"10. Бывает, что разрешаю ему (ей) то, что еще вчера запрещал(а).",11. Сын (дочь) всегда учитывает мою точку зрения.,"12. Я бы хотел(а), чтобы он(а) относился к своим детям так же, как я к нему (к ней).","13. Он(а) редко делает с первого раза то, о чем я прошу.",14. Я его (ее) очень редко ругаю.,15. Я стараюсь контролировать все его действия и поступки.,"16. Считаю, что для него главное — это слушаться меня.","17. Если у него (нее) случается несчастье, в первую очередь он(а) делится со мной.",18. Я не разделяю его увлечений.,"19. Я не считаю его (ее) таким умным и способным, как мне хотелось бы.",20. Могу признать свою неправоту и извиниться перед ним (ней).,21. Я часто иду у него (нее) на поводу.,22. Мне трудно бывает предсказать свое поведение по отношению к нему (ней).,"23. Думаю, что я для него (нее) авторитетный человек.",24. Мне нравятся наши с ней (с ним) отношения.,"25. Дома у него больше обязанностей, чем у большинства его друзей.",26. Приходится применять к нему (к ней) физические наказания.,"27. Ему(ей) приходится поступать так, как я говорю, даже если он(а) не хочет.","28. Думаю, я лучше знаю, что ему (ей) нужно.",29. Я всегда сочувствую своему ребенку.,"30. Мне кажется, я его (ее) понимаю.",31. Я хотел(а) бы в нем (ней) многое изменить.,32. При принятии семейных решений всегда учитываю его (ее) мнение.,33. Я всегда соглашаюсь с его (ее) идеями и предложениями.,34. Мое поведение часто бывает для него (нее) неожиданным.,35. Я являюсь для него (нее) эталоном и примером во всем.,"36. Считаю, что в целом правильно воспитываю своего сына (дочь).",37. Я предъявляю к нему (к ней) много требований.,38. По характеру я мягкий человек.,"39. Я позволяю ему (ей) возвращаться домой, когда он(а) хочет.",40. Я стремлюсь оградить его  (ее) от трудностей и неприятностей жизни,"41. Я не допускаю, чтобы он(а) подмечал(а) мои слабости и недостатки.",42. Мне нравится его (ее) характер.,43. Я часто критикую его по мелочам.,44. Всегда с готовностью его (ее) выслушиваю.,45. Мы расходимся с ним (с ней) по очень многим вопросам.,"46. Я наказываю его за такие поступки, которые совершаю сама.",47. Он(а) разделяет большинство моих взглядов.,48. Я устаю от повседневного общения с ней (с ним).,"49. Мне приходиться заставлять его (ее) делать то, что он (она) не хочет","50. Я прощаю ему (ей) то, за что другие наказали бы.","51. Мне бы хотелось знать о нем вес; о чем он(а) думает, как относится к своим друзьям и т.д.",52. Он(а) не советуется со мной с кем ему (ей) дружить.,"53. Думаю, что для него (нее) я самый близкий человек.",54. Я приветствую его (ее) повеление.,55. Я часто высказываю свое недовольство им.,"56. Принимаю участие в делах, которые придумывает он(а).",57. Мы по-разному представляем с ним (с ней) его (ее) будущую жизнь.,"58. Бывает, что упрекаю и хвалю его (ее), в сущности, за одно и то же.","59. Думаю, ему (ей) хотелось бы походить на меня.","60. Я хочу, чтобы он(а) всегда относился(лась) ко мне так же, как сейчас."
2025/06/27 07:22:03 PM GMT+3,Воробьа Александра,Тимофей,15,Подтверждаю,4,1,3,3,5,2,1,3,2,2,5,5,4,5,1,1,3,3,2,5,2,1,4,4,2,1,3,3,5,3,2,3,2,2,4,3,3,3,5,1,1,3,2,5,3,2,4,1,2,4,3,5,4,3,3,5,3,1,4,3
2025/11/07 01:28:28 AM GMT+3,Волка Вероника,Артем,15,Подтверждаю,5,1,3,4,4,1,1,2,1,3,4,5,2,4,1,3,4,1,1,5,2,1,5,4,2,1,3,3,5,5,3,4,4,2,3,5,1,5,1,2,1,5,1,5,3,2,3,1,3,4,3,4,2,4,1,5,3,1,2,4
2025/10/03 01:03:27 AM GMT+3,Семенов Матвей,Милана,15,Подтверждаю,4,5,2,3,4,2,1,2,1,3,3,3,2,2,4,3,5,2,1,5,4,2,5,4,1,1,2,1,5,4,1,4,5,1,4,4,2,1,1,4,4,5,2,4,3,2,2,1,3,2,3,3,5,3,2,4,3,2,3,5
2025/09/03 05:01:56 PM GMT+3,Новика Екатерина,Иван,16,Подтверждаю,5,1,3,4,5,1,3,2,2,2,3,1,2,3,3,2,4,3,2,5,2,4,5,5,4,1,3,2,4,4,2,3,3,2,2,3,1,2,5,2,4,3,3,4,3,1,3,3,4,4,4,4,2,4,1,3,2,2,2,2
2025/08/29 09:15:14 AM GMT+3,Попа Маргарита,Ярослав,15,Подтверждаю,4,1,3,3,5,1,1,2,4,3,4,4,4,5,2,2,4,3,3,5,3,1,5,3,2,1,3,4,5,3,2,3,4,2,4,3,4,3,5,2,1,3,2,5,4,1,5,1,4,5,3,5,3,3,3,5,3,1,3,3
2025/04/07 07:13:40 PM GMT+3,Воробьа Марина,Матвей,16,Подтверждаю,4,3,1,5,5,2,1,4,2,1,5,4,2,4,2,3,4,2,2,5,2,1,5,5,3,2,2,1,5,5,1,5,3,1,4,5,4,2,1,3,2,4,2,4,2,1,4,1,2,2,4,4,5,5,1,4,1,2,4,4
2025/04/16 09:17:00 PM GMT+3,Сокола Елена,Сергей,16,Подтверждаю,1,2,5,2,1,2,2,3,3,2,2,2,4,4,3,1,1,3,1,4,5,3,4,4,2,1,1,1,5,3,1,4,4,2,2,3,2,4,4,3,3,3,2,3,3,2,3,4,4,3,5,4,2,3,2,4,4,2,3,2
2025/05/15 08:00:35 PM GMT+3,Соловьев Артем,Ксения,14,Подтверждаю,4,4,1,3,3,1,1,4,1,1,3,3,2,2,3,2,3,2,2,4,4,1,5,3,3,2,2,2,5,5,1,4,4,2,5,4,2,1,1,3,2,4,2,3,2,3,2,2,3,2,5,2,5,3,1,5,3,2,3,3
2025/01/28 04:19:15 AM GMT+3,Семенов Марк,Елена,16,Подтверждаю,3,2,1,4,4,1,1,3,1,3,4,3,3,3,2,2,5,3,1,5,3,2,4,4,3,1,3,3,5,3,1,3,4,2,2,4,2,4,2,3,2,5,1,4,1,1,4,1,1,4,2,4,4,2,1,4,2,1,3,5
2025/03/26 12:52:11 AM GMT+3,Зайца Ольга,Марк,16,Подтверждаю,2,1,4,4,5,1,2,3,4,1,2,3,5,3,3,1,3,2,3,3,3,2,2,4,2,1,2,2,3,3,1,4,2,4,2,5,3,5,1,3,1,4,2,3,3,1,1,2,2,1,5,5,3,1,2,3,3,1,1,5
